Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Winner Name,Loser Name,Winner,Loser
Sun Nov 6 2016,Portland Trail Blazers,100,Memphis Grizzlies,94,Portland Trail Blazers,Memphis Grizzlies,POR,MEM
Sun Nov 6 2016,Utah Jazz,114,New York Knicks,109,Utah Jazz,New York Knicks,UTA,NYK
Sun Nov 6 2016,Sacramento Kings,96,Toronto Raptors,91,Sacramento Kings,Toronto Raptors,SAC,TOR
Mon Nov 7 2016,Orlando Magic,80,Chicago Bulls,112,Chicago Bulls,Orlando Magic,CHI,ORL
Mon Nov 7 2016,Indiana Pacers,100,Charlotte Hornets,122,Charlotte Hornets,Indiana Pacers,CHA,IND
Mon Nov 7 2016,New Orleans Pelicans,106,Golden State Warriors,116,Golden State Warriors,New Orleans Pelicans,GSW,NOP
Mon Nov 7 2016,Detroit Pistons,82,Los Angeles Clippers,114,Los Angeles Clippers,Detroit Pistons,LAC,DET
Mon Nov 7 2016,Miami Heat,85,Oklahoma City Thunder,97,Oklahoma City Thunder,Miami Heat,OKC,MIA
Mon Nov 7 2016,Utah Jazz,109,Philadelphia 76ers,84,Utah Jazz,Philadelphia 76ers,UTA,PHI
Mon Nov 7 2016,Houston Rockets,114,Washington Wizards,106,Houston Rockets,Washington Wizards,HOU,WAS
Tue Nov 8 2016,Minnesota Timberwolves,110,Brooklyn Nets,119,Brooklyn Nets,Minnesota Timberwolves,BKN,MIN
Tue Nov 8 2016,Atlanta Hawks,110,Cleveland Cavaliers,106,Atlanta Hawks,Cleveland Cavaliers,ATL,CLE
Tue Nov 8 2016,Dallas Mavericks,109,Los Angeles Lakers,97,Dallas Mavericks,Los Angeles Lakers,DAL,LAL
Tue Nov 8 2016,Denver Nuggets,107,Memphis Grizzlies,108,Memphis Grizzlies,Denver Nuggets,MEM,DEN
Tue Nov 8 2016,Phoenix Suns,121,Portland Trail Blazers,124,Portland Trail Blazers,Phoenix Suns,POR,PHX
Tue Nov 8 2016,New Orleans Pelicans,94,Sacramento Kings,102,Sacramento Kings,New Orleans Pelicans,SAC,NOP
Wed Nov 9 2016,Chicago Bulls,107,Atlanta Hawks,115,Atlanta Hawks,Chicago Bulls,ATL,CHI
Wed Nov 9 2016,Utah Jazz,98,Charlotte Hornets,104,Charlotte Hornets,Utah Jazz,CHA,UTA
Wed Nov 9 2016,Dallas Mavericks,95,Golden State Warriors,116,Golden State Warriors,Dallas Mavericks,GSW,DAL
Wed Nov 9 2016,Philadelphia 76ers,115,Indiana Pacers,122,Indiana Pacers,Philadelphia 76ers,IND,PHI
Wed Nov 9 2016,Portland Trail Blazers,80,Los Angeles Clippers,111,Los Angeles Clippers,Portland Trail Blazers,LAC,POR
Wed Nov 9 2016,Brooklyn Nets,96,New York Knicks,110,New York Knicks,Brooklyn Nets,NYK,BKN
Wed Nov 9 2016,Toronto Raptors,112,Oklahoma City Thunder,102,Toronto Raptors,Oklahoma City Thunder,TOR,OKC
Wed Nov 9 2016,Minnesota Timberwolves,123,Orlando Magic,107,Minnesota Timberwolves,Orlando Magic,MIN,ORL
Wed Nov 9 2016,Detroit Pistons,100,Phoenix Suns,107,Phoenix Suns,Detroit Pistons,PHX,DET
Wed Nov 9 2016,Houston Rockets,101,San Antonio Spurs,99,Houston Rockets,San Antonio Spurs,HOU,SAS
Wed Nov 9 2016,Boston Celtics,93,Washington Wizards,118,Washington Wizards,Boston Celtics,WAS,BOS
Thu Nov 10 2016,Golden State Warriors,125,Denver Nuggets,101,Golden State Warriors,Denver Nuggets,GSW,DEN
Thu Nov 10 2016,Chicago Bulls,98,Miami Heat,95,Chicago Bulls,Miami Heat,CHI,MIA
Thu Nov 10 2016,New Orleans Pelicans,112,Milwaukee Bucks,106,New Orleans Pelicans,Milwaukee Bucks,NOP,MIL
Thu Nov 10 2016,Los Angeles Lakers,101,Sacramento Kings,91,Los Angeles Lakers,Sacramento Kings,LAL,SAC
Fri Nov 11 2016,New York Knicks,87,Boston Celtics,115,Boston Celtics,New York Knicks,BOS,NYK
Fri Nov 11 2016,Toronto Raptors,113,Charlotte Hornets,111,Toronto Raptors,Charlotte Hornets,TOR,CHA
Fri Nov 11 2016,Los Angeles Clippers,110,Oklahoma City Thunder,108,Los Angeles Clippers,Oklahoma City Thunder,LAC,OKC
Fri Nov 11 2016,Utah Jazz,87,Orlando Magic,74,Utah Jazz,Orlando Magic,UTA,ORL
Fri Nov 11 2016,Indiana Pacers,105,Philadelphia 76ers,109,Philadelphia 76ers,Indiana Pacers,PHI,IND
Fri Nov 11 2016,Sacramento Kings,120,Portland Trail Blazers,122,Portland Trail Blazers,Sacramento Kings,POR,SAC
Fri Nov 11 2016,Detroit Pistons,86,San Antonio Spurs,96,San Antonio Spurs,Detroit Pistons,SAS,DET
Fri Nov 11 2016,Cleveland Cavaliers,105,Washington Wizards,94,Cleveland Cavaliers,Washington Wizards,CLE,WAS
Sat Nov 12 2016,Philadelphia 76ers,96,Atlanta Hawks,117,Atlanta Hawks,Philadelphia 76ers,ATL,PHI
Sat Nov 12 2016,Washington Wizards,95,Chicago Bulls,106,Chicago Bulls,Washington Wizards,CHI,WAS
Sat Nov 12 2016,Detroit Pistons,106,Denver Nuggets,95,Detroit Pistons,Denver Nuggets,DET,DEN
Sat Nov 12 2016,San Antonio Spurs,106,Houston Rockets,100,San Antonio Spurs,Houston Rockets,SAS,HOU
Sat Nov 12 2016,Boston Celtics,105,Indiana Pacers,99,Boston Celtics,Indiana Pacers,BOS,IND
Sat Nov 12 2016,Utah Jazz,102,Miami Heat,91,Utah Jazz,Miami Heat,UTA,MIA
Sat Nov 12 2016,Memphis Grizzlies,96,Milwaukee Bucks,106,Milwaukee Bucks,Memphis Grizzlies,MIL,MEM
Sat Nov 12 2016,Los Angeles Clippers,119,Minnesota Timberwolves,105,Los Angeles Clippers,Minnesota Timberwolves,LAC,MIN
Sat Nov 12 2016,Los Angeles Lakers,126,New Orleans Pelicans,99,Los Angeles Lakers,New Orleans Pelicans,LAL,NOP
Sat Nov 12 2016,Brooklyn Nets,122,Phoenix Suns,104,Brooklyn Nets,Phoenix Suns,BKN,PHX
Sat Nov 12 2016,New York Knicks,107,Toronto Raptors,118,Toronto Raptors,New York Knicks,TOR,NYK
Sun Nov 13 2016,Charlotte Hornets,93,Cleveland Cavaliers,100,Cleveland Cavaliers,Charlotte Hornets,CLE,CHA
Sun Nov 13 2016,Phoenix Suns,120,Golden State Warriors,133,Golden State Warriors,Phoenix Suns,GSW,PHX
Sun Nov 13 2016,Los Angeles Lakers,99,Minnesota Timberwolves,125,Minnesota Timberwolves,Los Angeles Lakers,MIN,LAL
Sun Nov 13 2016,Orlando Magic,119,Oklahoma City Thunder,117,Orlando Magic,Oklahoma City Thunder,ORL,OKC
Sun Nov 13 2016,Denver Nuggets,105,Portland Trail Blazers,112,Portland Trail Blazers,Denver Nuggets,POR,DEN
Mon Nov 14 2016,Oklahoma City Thunder,88,Detroit Pistons,104,Detroit Pistons,Oklahoma City Thunder,DET,OKC
Mon Nov 14 2016,Philadelphia 76ers,88,Houston Rockets,115,Houston Rockets,Philadelphia 76ers,HOU,PHI
Mon Nov 14 2016,Orlando Magic,69,Indiana Pacers,88,Indiana Pacers,Orlando Magic,IND,ORL
Mon Nov 14 2016,Brooklyn Nets,95,Los Angeles Clippers,127,Los Angeles Clippers,Brooklyn Nets,LAC,BKN
Mon Nov 14 2016,Boston Celtics,105,New Orleans Pelicans,106,New Orleans Pelicans,Boston Celtics,NOP,BOS
Mon Nov 14 2016,Dallas Mavericks,77,New York Knicks,93,New York Knicks,Dallas Mavericks,NYK,DAL
Mon Nov 14 2016,Miami Heat,90,San Antonio Spurs,94,San Antonio Spurs,Miami Heat,SAS,MIA
Mon Nov 14 2016,Memphis Grizzlies,102,Utah Jazz,96,Memphis Grizzlies,Utah Jazz,MEM,UTA
Tue Nov 15 2016,Toronto Raptors,117,Cleveland Cavaliers,121,Cleveland Cavaliers,Toronto Raptors,CLE,TOR
Tue Nov 15 2016,Brooklyn Nets,118,Los Angeles Lakers,125,Los Angeles Lakers,Brooklyn Nets,LAL,BKN
Tue Nov 15 2016,Atlanta Hawks,93,Miami Heat,90,Atlanta Hawks,Miami Heat,ATL,MIA
Tue Nov 15 2016,Charlotte Hornets,115,Minnesota Timberwolves,108,Charlotte Hornets,Minnesota Timberwolves,CHA,MIN
Tue Nov 15 2016,Chicago Bulls,113,Portland Trail Blazers,88,Chicago Bulls,Portland Trail Blazers,CHI,POR
Wed Nov 16 2016,Milwaukee Bucks,100,Atlanta Hawks,107,Atlanta Hawks,Milwaukee Bucks,ATL,MIL
Wed Nov 16 2016,Dallas Mavericks,83,Boston Celtics,90,Boston Celtics,Dallas Mavericks,BOS,DAL
Wed Nov 16 2016,Phoenix Suns,104,Denver Nuggets,120,Denver Nuggets,Phoenix Suns,DEN,PHX
Wed Nov 16 2016,Cleveland Cavaliers,93,Indiana Pacers,103,Indiana Pacers,Cleveland Cavaliers,IND,CLE
Wed Nov 16 2016,Memphis Grizzlies,111,Los Angeles Clippers,107,Memphis Grizzlies,Los Angeles Clippers,MEM,LAC
Wed Nov 16 2016,Detroit Pistons,102,New York Knicks,105,New York Knicks,Detroit Pistons,NYK,DET
Wed Nov 16 2016,Houston Rockets,103,Oklahoma City Thunder,105,Oklahoma City Thunder,Houston Rockets,OKC,HOU
Wed Nov 16 2016,New Orleans Pelicans,82,Orlando Magic,89,Orlando Magic,New Orleans Pelicans,ORL,NOP
Wed Nov 16 2016,Washington Wizards,102,Philadelphia 76ers,109,Philadelphia 76ers,Washington Wizards,PHI,WAS
Wed Nov 16 2016,San Antonio Spurs,110,Sacramento Kings,105,San Antonio Spurs,Sacramento Kings,SAS,SAC
Wed Nov 16 2016,Golden State Warriors,127,Toronto Raptors,121,Golden State Warriors,Toronto Raptors,GSW,TOR
Thu Nov 17 2016,Portland Trail Blazers,109,Houston Rockets,126,Houston Rockets,Portland Trail Blazers,HOU,POR
Thu Nov 17 2016,Milwaukee Bucks,73,Miami Heat,96,Miami Heat,Milwaukee Bucks,MIA,MIL
Thu Nov 17 2016,Philadelphia 76ers,86,Minnesota Timberwolves,110,Minnesota Timberwolves,Philadelphia 76ers,MIN,PHI
Thu Nov 17 2016,Chicago Bulls,85,Utah Jazz,77,Chicago Bulls,Utah Jazz,CHI,UTA
Thu Nov 17 2016,New York Knicks,112,Washington Wizards,119,Washington Wizards,New York Knicks,WAS,NYK
Fri Nov 18 2016,Golden State Warriors,104,Boston Celtics,88,Golden State Warriors,Boston Celtics,GSW,BOS
Fri Nov 18 2016,Atlanta Hawks,96,Charlotte Hornets,100,Charlotte Hornets,Atlanta Hawks,CHA,ATL
Fri Nov 18 2016,Detroit Pistons,81,Cleveland Cavaliers,104,Cleveland Cavaliers,Detroit Pistons,CLE,DET
Fri Nov 18 2016,Memphis Grizzlies,80,Dallas Mavericks,64,Memphis Grizzlies,Dallas Mavericks,MEM,DAL
Fri Nov 18 2016,Toronto Raptors,113,Denver Nuggets,111,Toronto Raptors,Denver Nuggets,TOR,DEN
Fri Nov 18 2016,Phoenix Suns,116,Indiana Pacers,96,Phoenix Suns,Indiana Pacers,PHX,IND
Fri Nov 18 2016,San Antonio Spurs,116,Los Angeles Lakers,107,San Antonio Spurs,Los Angeles Lakers,SAS,LAL
Fri Nov 18 2016,Portland Trail Blazers,101,New Orleans Pelicans,113,New Orleans Pelicans,Portland Trail Blazers,NOP,POR
Fri Nov 18 2016,Brooklyn Nets,105,Oklahoma City Thunder,124,Oklahoma City Thunder,Brooklyn Nets,OKC,BKN
Fri Nov 18 2016,Los Angeles Clippers,121,Sacramento Kings,115,Los Angeles Clippers,Sacramento Kings,LAC,SAC
Sat Nov 19 2016,Boston Celtics,94,Detroit Pistons,92,Boston Celtics,Detroit Pistons,BOS,DET
Sat Nov 19 2016,Utah Jazz,102,Houston Rockets,111,Houston Rockets,Utah Jazz,HOU,UTA
Sat Nov 19 2016,Chicago Bulls,95,Los Angeles Clippers,102,Los Angeles Clippers,Chicago Bulls,LAC,CHI
Sat Nov 19 2016,Minnesota Timberwolves,71,Memphis Grizzlies,93,Memphis Grizzlies,Minnesota Timberwolves,MEM,MIN
Sat Nov 19 2016,Golden State Warriors,124,Milwaukee Bucks,121,Golden State Warriors,Milwaukee Bucks,GSW,MIL
Sat Nov 19 2016,Charlotte Hornets,116,New Orleans Pelicans,121,New Orleans Pelicans,Charlotte Hornets,NOP,CHA
Sat Nov 19 2016,Dallas Mavericks,87,Orlando Magic,95,Orlando Magic,Dallas Mavericks,ORL,DAL
