Player,Position,Age,Team,Games,Minutes Played,FG,FGA,FG%,EFG%,FT%,Rebound,Assist,Steal,Block,Points
Joe Harris,SG,26,BRK,78,25.3,3.9,8,0.491,0.612,0.827,3.3,1.6,0.4,0.3,10.8
Rodney Hood,SG,25,CLE,21,25.3,4.2,9.5,0.442,0.505,0.813,2.6,1.4,0.7,0.2,10.8
Ersan Ilyasova,PF,30,PHI,23,24.1,4,9.2,0.439,0.509,0.733,6.7,1.7,0.7,0.4,10.8
James Johnson,PF,30,MIA,73,26.6,4.2,8.4,0.503,0.55,0.698,4.9,3.8,1,0.7,10.8
Damion Lee,SG,25,ATL,15,26.9,4.1,10.1,0.408,0.457,0.759,4.7,1.9,1.3,0.1,10.7
John Collins,PF,20,ATL,74,24.1,4.2,7.4,0.576,0.591,0.715,7.3,1.3,0.6,1.1,10.5
Mike James,PG,27,PHO,32,20.9,3.8,9.8,0.388,0.429,0.762,2.8,3.8,0.8,0.2,10.4
Jamal Crawford,SG,37,MIN,80,20.7,3.9,9.3,0.415,0.485,0.903,1.2,2.3,0.5,0.1,10.3
JaMychal Green,PF,27,MEM,55,28,4.1,8.9,0.457,0.501,0.721,8.4,1.4,0.6,0.5,10.3
D.J. Augustin,PG,30,ORL,75,23.5,3.3,7.2,0.452,0.557,0.868,2.1,3.8,0.7,0,10.2
Lonzo Ball,PG,20,LAL,52,34.2,3.9,10.8,0.36,0.44,0.451,6.9,7.2,1.7,0.8,10.2
Yogi Ferrell,SG,24,DAL,82,27.8,3.8,8.9,0.426,0.518,0.796,3,2.5,0.8,0.1,10.2
Greg Monroe,C,27,BOS,26,19.1,4,7.6,0.53,0.53,0.797,6.3,2.3,1.1,0.7,10.2
Marcus Smart,SG,23,BOS,54,29.9,3.5,9.5,0.367,0.44,0.729,3.5,4.8,1.3,0.4,10.2
Denzel Valentine,SG,24,CHI,77,27.2,3.9,9.4,0.417,0.517,0.745,5.1,3.2,0.8,0.1,10.2
Corey Brewer,SG,31,OKC,18,28.6,3.6,8,0.444,0.524,0.795,3.4,1.3,2.1,0.3,10.1
Pau Gasol,C,37,SAS,77,23.5,3.7,8.1,0.458,0.492,0.756,8,3.1,0.3,1,10.1
Wilson Chandler,SF,30,DEN,74,31.7,3.8,8.5,0.445,0.515,0.772,5.4,2.2,0.6,0.5,10
Dewayne Dedmon,C,28,ATL,62,24.9,4,7.7,0.524,0.577,0.779,7.9,1.5,0.6,0.8,10
C.J. Miles,SF,30,TOR,70,19.1,3.2,8.6,0.379,0.516,0.835,2.2,0.8,0.5,0.3,10
Patty Mills,PG,29,SAS,82,25.7,3.4,8.3,0.411,0.523,0.89,1.9,2.8,0.7,0.1,10
Trey Lyles,PF,22,DEN,73,19.1,3.7,7.5,0.491,0.566,0.697,4.8,1.2,0.4,0.5,9.9
Tyrone Wallace,PG,23,LAC,30,28.4,3.7,8.2,0.445,0.466,0.782,3.5,2.4,0.9,0.4,9.7
Mario Hezonja,SF,22,ORL,75,22.1,3.6,8.2,0.442,0.515,0.819,3.7,1.4,1.1,0.4,9.6
Quinn Cook,PG,24,GSW,33,22.4,3.7,7.6,0.484,0.575,0.88,2.5,2.7,0.4,0,9.5
Andrew Harrison,PG,23,MEM,56,23.7,3.2,7.7,0.422,0.477,0.78,2.3,3.2,0.7,0.5,9.5
Milos Teodosic,PG,30,LAC,45,25.2,3.4,8,0.419,0.542,0.848,2.8,4.6,0.5,0.1,9.5
Marvin Williams,PF,31,CHO,78,25.7,3.3,7.2,0.458,0.57,0.829,4.7,1.2,0.7,0.5,9.5
George Hill,PG,31,CLE,24,27.9,3.5,7.8,0.444,0.516,0.805,2.7,2.8,0.9,0.6,9.4
Al-Farouq Aminu,PF,27,POR,69,30,3.3,8.4,0.395,0.503,0.738,7.6,1.2,1.1,0.6,9.3
Ryan Anderson,PF,29,HOU,66,26.1,3.1,7.3,0.431,0.568,0.774,5,0.9,0.4,0.3,9.3
Wayne Selden,SG,23,MEM,35,19.8,3.3,7.7,0.431,0.522,0.746,1.6,1.9,0.5,0.1,9.3
Michael Kidd-Gilchrist,SF,24,CHO,74,25,3.8,7.6,0.504,0.504,0.684,4.1,1,0.7,0.4,9.2
Kyle Korver,SG,36,CLE,73,21.6,3,6.6,0.459,0.628,0.889,2.3,1.2,0.4,0.4,9.2
Lance Stephenson,SG,27,IND,82,22.6,3.7,8.6,0.427,0.475,0.661,5.2,2.9,0.6,0.2,9.2
Isaiah Canaan,PG,26,PHO,19,22,2.7,7.2,0.382,0.463,0.902,2.3,4,0.8,0.1,9.1
Doug McDermott,SF,26,DAL,26,22.9,3.3,6.9,0.478,0.586,0.857,2.5,1.1,0.3,0.2,9
Troy Daniels,SG,26,PHO,79,20.5,2.9,7.3,0.403,0.563,0.875,1.6,0.6,0.3,0.1,8.9
Manu Ginobili,SG,40,SAS,65,20,3.1,7.1,0.434,0.503,0.84,2.2,2.5,0.7,0.2,8.9
Larry Nance,C,25,CLE,24,20.8,3.7,6.7,0.55,0.553,0.72,7,1,1.2,0.8,8.9
Anthony Tolliver,PF,32,DET,79,22.2,2.8,6,0.464,0.632,0.797,3.1,1.1,0.4,0.3,8.9
John Henson,C,27,MIL,76,25.9,3.8,6.6,0.572,0.573,0.57,6.8,1.5,0.6,1.4,8.8
Emmanuel Mudiay,PG,21,NYK,22,22.4,3.4,9.3,0.368,0.39,0.686,2.6,3.9,0.9,0.3,8.8
Cameron Payne,PG,23,CHI,25,23.3,3.5,8.6,0.405,0.486,0.75,2.8,4.5,1,0.4,8.8
Mike Scott,PF,29,WAS,76,18.5,3.6,6.9,0.527,0.59,0.658,3.3,1.1,0.3,0.1,8.8
Stanley Johnson,SF,21,DET,69,27.4,3,8.1,0.375,0.435,0.772,3.7,1.6,1.4,0.2,8.7
Skal Labissiere,PF,21,SAC,60,20.7,3.4,7.6,0.448,0.467,0.805,4.8,1.2,0.4,0.8,8.7
Johnathan Motley,PF,22,DAL,11,16,3.6,6.8,0.533,0.54,0.536,4.5,0.6,0.3,0.2,8.7
Shabazz Napier,PG,26,POR,74,20.7,3,7.2,0.42,0.497,0.841,2.3,2,1.1,0.2,8.7
Terrence Ross,SG,26,ORL,24,25,3.2,8,0.398,0.476,0.75,3,1.6,1.1,0.5,8.7
Isaiah Canaan,PG-SG,26,TOT,20,21.1,2.6,6.9,0.38,0.46,0.902,2.3,3.8,0.8,0.1,8.6
Danny Green,SG,30,SAS,70,25.6,3.1,8,0.387,0.49,0.769,3.6,1.6,0.9,1.1,8.6
Fred VanVleet,PG,23,TOR,76,20,3.1,7.2,0.426,0.525,0.832,2.4,3.2,0.9,0.3,8.6
Jonathan Gibson,PG,30,BOS,4,10,3.5,5.8,0.609,0.739,,0.8,1,0,0,8.5
Alex Len,C,24,PHO,69,20.2,3.1,5.5,0.566,0.567,0.684,7.5,1.2,0.4,0.9,8.5
Shabazz Muhammad,SG,25,MIL,11,10.6,3.4,6.1,0.552,0.575,0.895,2.8,0.6,0.4,0.1,8.5
Dwight Powell,C,26,DAL,79,21.2,3.2,5.4,0.593,0.626,0.719,5.6,1.2,0.8,0.4,8.5
Marcin Gortat,C,33,WAS,82,25.3,3.5,6.8,0.518,0.518,0.675,7.6,1.8,0.5,0.7,8.4
Jerami Grant,PF,23,OKC,81,20.3,3,5.6,0.535,0.57,0.675,3.9,0.7,0.4,1,8.4
Jerian Grant,PG,25,CHI,74,22.8,2.8,6.8,0.415,0.475,0.745,2.3,4.6,0.9,0.1,8.4
Garrett Temple,SG,31,SAC,65,24.8,3.1,7.3,0.418,0.512,0.769,2.3,1.9,0.9,0.4,8.4
Rajon Rondo,PG,31,NOP,65,26.2,3.6,7.6,0.468,0.518,0.543,4,8.2,1.1,0.2,8.3
J.R. Smith,SG,32,CLE,80,28.1,3,7.4,0.403,0.524,0.696,2.9,1.8,0.9,0.1,8.3
Jarrett Allen,C,19,BRK,72,20,3.3,5.5,0.589,0.596,0.776,5.4,0.7,0.4,1.2,8.2
Devin Harris,PG,34,DEN,27,19.7,2.6,6.3,0.406,0.509,0.845,1.6,2.5,0.5,0.1,8.2
Thabo Sefolosha,SF,33,UTA,38,21.2,3.1,6.3,0.492,0.558,0.815,4.2,0.9,1.4,0.3,8.2
Evan Turner,SF,29,POR,79,25.7,3.3,7.3,0.447,0.484,0.85,3.1,2.2,0.6,0.4,8.2
Dante Exum,PG,22,UTA,14,16.8,3,6.2,0.483,0.511,0.806,1.9,3.1,0.6,0.2,8.1
Dejounte Murray,PG,21,SAS,81,21.5,3.3,7.5,0.443,0.451,0.709,5.7,2.9,1.2,0.4,8.1
Aaron Jackson,PG,31,HOU,1,35,3,9,0.333,0.389,0.5,3,1,0,0,8
Delon Wright,PG,25,TOR,69,20.8,2.9,6.3,0.465,0.53,0.829,2.9,2.9,1,0.5,8
